Region,Country,Item Type,Total Cost,Total Profit
Australia and Oceania,Tuvalu,Baby Food,1582243.5,951410.5
Central America and the Caribbean,Grenada,Cereal,328376.44,248406.36
Europe,Russia,Office Supplies,933903.84,224598.75
Sub-Saharan Africa,Sao Tome and Principe,Fruits,56065.84,19525.82
Sub-Saharan Africa,Rwanda,Office Supplies,2657347.52,639077.5
Australia and Oceania,Solomon Islands,Baby Food,474115.08,285087.64
Sub-Saharan Africa,Angola,Household,2104134.98,693911.51
Sub-Saharan Africa,Burkina Faso,Vegetables,734896.26,510216.66
Sub-Saharan Africa,Republic of the Congo,Personal Care,343986.9,152114.2
Sub-Saharan Africa,Senegal,Cereal,772106.23,584073.87
Asia,Kyrgyzstan,Vegetables,11275.32,7828.12
Sub-Saharan Africa,Cape Verde,Clothes,149381.12,306097.92
Asia,Bangladesh,Clothes,296145.92,606834.72
Central America and the Caribbean,Honduras,Household,4509793.96,1487261.02
Asia,Mongolia,Personal Care,277739.67,122819.06
Europe,Bulgaria,Clothes,59960.32,122865.12
Asia,Sri Lanka,Cosmetics,1830670.16,1208744.24
Sub-Saharan Africa,Cameroon,Beverages,172619.7,85033.8
Asia,Turkmenistan,Household,1924728.2,634745.9
Australia and Oceania,East Timor,Meat,2154588.52,337937.6
Europe,Norway,Baby Food,1187679,714157
Europe,Portugal,Baby Food,202941.66,122029.78
Central America and the Caribbean,Honduras,Snacks,216804,122686.5
Australia and Oceania,New Zealand,Fruits,15134.04,5270.67
Europe,Moldova ,Personal Care,287316.9,127054.2
Europe,France,Cosmetics,477943.95,315574.05
Australia and Oceania,Kiribati,Fruits,37354.16,13009.18
Sub-Saharan Africa,Mali,Fruits,40288.24,14031.02
Europe,Norway,Beverages,162891.96,80241.84
Sub-Saharan Africa,The Gambia,Household,1191019.8,392780.1
Europe,Switzerland,Cosmetics,2280701.13,1505888.07
Sub-Saharan Africa,South Sudan,Personal Care,120423.75,53252.5
Australia and Oceania,Australia,Office Supplies,1534983.04,369155
Asia,Myanmar,Household,4145955,1367272.5
Sub-Saharan Africa,Djibouti,Snacks,713942.88,404010.78
Central America and the Caribbean,Costa Rica,Personal Care,363198.03,160609.54
Middle East and North Africa,Syria,Fruits,26185.28,9119.44
Sub-Saharan Africa,The Gambia,Meat,1738477.23,272672.4
Asia,Brunei,Office Supplies,3521431.68,846885
Europe,Bulgaria,Office Supplies,2093015.52,503358.75
Sub-Saharan Africa,Niger,Personal Care,170860.05,75555.9
Middle East and North Africa,Azerbaijan,Cosmetics,1904929.22,1257775.58
Sub-Saharan Africa,The Gambia,Cereal,247921.87,187545.03
Europe,Slovakia,Vegetables,15549.03,10795.23
Asia,Myanmar,Clothes,212531.2,435499.2
Sub-Saharan Africa,Comoros,Cereal,112659.82,85223.58
Europe,Iceland,Cosmetics,2334947.11,1541705.29
Europe,Switzerland,Personal Care,15470.91,6841.38
Europe,Macedonia,Clothes,281057.28,575916.48
Sub-Saharan Africa,Mauritania,Office Supplies,664599.36,159832.5
Europe,Albania,Clothes,81320.96,166635.36
Sub-Saharan Africa,Lesotho,Fruits,66473.52,23150.46
Middle East and North Africa,Saudi Arabia,Cereal,475817.93,359941.17
Sub-Saharan Africa,Sierra Leone,Office Supplies,1814786.72,436446.25
Sub-Saharan Africa,Sao Tome and Principe,Fruits,52848.04,18405.17
Sub-Saharan Africa,Cote d'Ivoire,Clothes,124794.88,255718.08
Australia and Oceania,Fiji,Clothes,354995.2,727423.2
Europe,Austria,Cosmetics,749700.51,495007.89
Europe,United Kingdom,Household,141716.28,46735.86
Sub-Saharan Africa,Djibouti,Cosmetics,1899925.95,1254472.05
Australia and Oceania,Australia,Cereal,79869.02,60418.38
Europe,San Marino,Baby Food,757245,455335
Sub-Saharan Africa,Cameroon,Office Supplies,2896729.28,696647.5
Middle East and North Africa,Libya,Clothes,219197.44,449159.04
